text,labels
这款手机有什么颜色可选,"['售前商品咨询', '售后退换货']"
这个冰箱的尺寸是多少,['售前商品咨询']
有没有适合学生用的笔记本电脑推荐,['售前商品咨询']
这件衣服是什么面料的会不会起球,"['售前商品咨询', '售后退换货']"
现在下单什么时候能到货,"['售前商品咨询', '订单查询']"
这个耳机和那个音箱哪个性价比更高,['售前商品咨询']
支持七天无理由退换吗,['售前商品咨询']
你们店有没有实体店可以去试穿,['售前商品咨询']
最近有什么优惠活动吗有没有满减券,['售前商品咨询']
请问这款包包是真皮的吗质量怎么样,['售前商品咨询']
第一次买你们家产品这个能用多久,['售前商品咨询']
可以货到付款吗支持哪些支付方式,"['售前商品咨询', '闲聊无关内容']"
给我看看实拍图不要精修的那种,['售前商品咨询']
这个型号和去年的旧款有什么区别升级了哪些功能,"['售前商品咨询', '闲聊无关内容']"
我想给老人买个好操作简单的手机有推荐吗,"['售前商品咨询', '物流查询']"
这款空调耗电量大吗能效等级是多少,['售前商品咨询']
保修期多长有没有延保服务,['售前商品咨询']
买两个有没有优惠可以打折吗,"['售前商品咨询', '售后退换货']"
有没有赠品现在下单送什么,['售前商品咨询']
能帮我对比一下这几款产品的优缺点吗,['售前商品咨询']
我的订单现在是什么状态发货了吗,"['订单查询', '售后退换货']"
帮我查一下订单号20240624001,['订单查询']
我昨天下单的怎么还没发货,['订单查询']
订单详情在哪看我怎么找不到购买记录,['订单查询']
我想修改一下收货地址还能改吗,['订单查询']
下单成功了但没收到确认短信怎么回事,"['订单查询', '物流查询']"
我买的商品总价怎么和下单时不一样了,['订单查询']
帮我取消这个订单我不要了,"['订单查询', '闲聊无关内容']"
已经付款了为什么还显示待支付,"['订单查询', '售前商品咨询']"
我买了三件怎么只收到两件的发货通知,"['订单查询', '售后退换货']"
能不能把订单拆开发货急用的那件先发,['订单查询']
比价发现别家更便宜我能申请价保吗,"['订单查询', '投诉纠纷']"
下单时选择了开发票怎么查看发票信息,['订单查询']
订单显示已签收但我本人没收到,['订单查询']
我可以用两个优惠券吗为什么不能叠加,['订单查询']
订单编号在哪里看我怎么发给朋友代付,"['订单查询', '售前商品咨询']"
昨天抢的限时特价订单现在没了我是不是被取消了,['订单查询']
合并支付的两个订单为什么一个发货一个没发,['订单查询']
这个订单能换成其他款式吗还没发货,['订单查询']
重复下单了能帮我合并成一个订单吗,['订单查询']
我的快递到哪了帮我查一下物流,['物流查询']
显示派送中已经三天了怎么还没送到,['物流查询']
发的什么快递快递单号是多少,['物流查询']
物流显示签收了但我没收到货是不是送错了,"['物流查询', '售后退换货']"
预计送达时间已经过了一天还没到,['物流查询']
可以指定快递公司吗我想发顺丰,['物流查询']
快递一直卡在中转站不动了怎么回事,['物流查询']
你们发的是什么物流为什么查不到单号,['物流查询']
快递员说联系不上我能不能重新安排派送,['物流查询']
我这边地址改了快递能改送到新地址吗,['物流查询']
显示在运输中但是已经五天了正常吗,['物流查询']
急用这个件能加急配送吗加钱也行,['物流查询']
快递在路上会不会被压坏包装牢固吗,['物流查询']
能不能给快递员打个电话帮我催一下,"['物流查询', '投诉纠纷']"
东西显示已出库但是一直没物流更新,"['物流查询', '投诉纠纷']"
国庆期间物流正常派送吗会不会延迟,['物流查询']
发往我这大概要几天你们仓库在哪里,['物流查询']
海外可以邮寄吗运费怎么算,"['物流查询', '投诉纠纷']"
我可以自己去快递点取吗不想等派送,['物流查询']
物流轨迹显示异常是不是丢件了,['物流查询']
收到的商品有划痕我要申请退货退款,['售后退换货']
衣服买小了能换大一码的吗怎么换,['售后退换货']
打开包装发现少了一个配件能补发吗,['售后退换货']
用了三天就坏了这是质量问题我要退款,['售后退换货']
退货的运费谁承担你们包邮退货吗,"['售后退换货', '闲聊无关内容']"
颜色和图片差距太大了这是虚假宣传吧我要退,['售后退换货']
已经在后台申请了退货什么时候通过审核,['售后退换货']
退回去的货你们收到了吗什么时候退款,['售后退换货']
退款是退回到原支付方式吗多久能到账,['售后退换货']
超过七天还能退吗刚拆封才发现的瑕疵,"['售后退换货', '投诉纠纷']"
换货的话你们先发新的还是我先退旧的,['售后退换货']
食品类开封了还能退吗味道不太对,"['售后退换货', '售前商品咨询']"
买的电子产品发票丢了还能保修吗,['售后退换货']
退货运费险能赔多少怎么申请理赔,['售后退换货']
收到的是空包裹里面什么都没有太离谱了,['售后退换货']
换的货和原来不是一个型号你们发错了,"['售后退换货', '售前商品咨询']"
申请退款之后还能取消退款继续要这个货吗,['售后退换货']
退货地址是什么我自己寄回去还是你们上门取,"['售后退换货', '订单查询']"
买了两件只退一件可以吗另一件还想留着,['售后退换货']
退款的金额为什么比实付少是不是扣了什么费用,['售后退换货']
你们这是虚假宣传我要投诉到12315,['投诉纠纷']
客服态度太差了我要投诉这个客服工号多少,"['投诉纠纷', '订单查询']"
等了半小时都没人回复你们客服是摆设吗,['投诉纠纷']
承诺48小时发货结果一周了还没动静,"['投诉纠纷', '售前商品咨询']"
你们就是个骗子网站货不对板我要维权,['投诉纠纷']
投诉你们虚假发货根本没有物流信息,"['投诉纠纷', '售前商品咨询']"
已联系消协了你们看着办,"['投诉纠纷', '物流查询']"
我要找你们主管普通客服解决不了我的问题,['投诉纠纷']
太失望了这个问题拖了一个月没人处理,['投诉纠纷']
我在小红书曝光你们看看多少人转发,"['投诉纠纷', '订单查询']"
严重怀疑你们卖假货我要官方检测,['投诉纠纷']
你们店铺评分这么低是有原因的再也不买了,"['投诉纠纷', '物流查询']"
上次说的赔偿方案根本没人联系我你们说话不算数,['投诉纠纷']
客服推来推去到底有没有人能负责这件事,['投诉纠纷']
这个订单我明确写了备注你们完全不管不顾吗,"['投诉纠纷', '售前商品咨询']"
你们客服有录音吧我要调取通话记录作为证据,['投诉纠纷']
发信息已读不回你们就是这个服务态度吗,['投诉纠纷']
能不能找个能解决问题的来我不想再重复描述了,['投诉纠纷']
已经截图保留了所有证据准备走法律程序,['投诉纠纷']
投诉物流投诉商品投诉客服你们全都有问题,['投诉纠纷']
你好呀今天天气真不错,['闲聊无关内容']
在吗在不在有人吗,['闲聊无关内容']
哈哈发个表情包给你看看,"['闲聊无关内容', '售前商品咨询']"
今天星期五了周末愉快,['闲聊无关内容']
谢谢你的帮助再见啦,"['闲聊无关内容', '订单查询']"
你是机器人还是真人啊,"['闲聊无关内容', '物流查询']"
123测试一下能不能正常发送,"['闲聊无关内容', '物流查询']"
今天心情不太好就想找人说说话,"['闲聊无关内容', '售前商品咨询']"
你们公司招人吗我想来上班,['闲聊无关内容']
晚饭吃啥有没有推荐的外卖,['闲聊无关内容']
能不能讲个笑话给我听,['闲聊无关内容']
这个点还在加班吗辛苦了,"['闲聊无关内容', '售前商品咨询']"
ABCDEFG随便打几个字看看,['闲聊无关内容']
我是做IT的你们这个系统是用什么技术栈开发的,"['闲聊无关内容', '物流查询']"
祝生意兴隆财源广进哈,['闲聊无关内容']
晚安了明天再来逛逛,"['闲聊无关内容', '订单查询']"
听说有个电视剧很好看推荐给你,"['闲聊无关内容', '物流查询']"
想问问你们的AI客服是怎么训练的挺有意思,"['闲聊无关内容', '投诉纠纷']"
喵喵喵汪汪汪嘿嘿嘿哈哈哈,['闲聊无关内容']
请问怎么转人工客服我一直点都找不到,['闲聊无关内容']
